zolpidem,insomnia,sleep,drowsiness,dizziness,diarrhea,atorvastatin,stroke,revascularization,myopathy,rhabdomyolysis,,,,,,,
eszopiclone,insomnia,sleep,headache,somnolence,dizziness,rash,anxiety,hallucinations,atorvastatin,stroke,revascularization,myopathy,rhabdomyolysis,,,,
zaleplon,insomnia,sleep,fever,constipation,dyspepsia,arthritis,myalgia,anxiety,depression,bronchitis,atorvastatin,stroke,revascularization,myopathy,rhabdomyolysis,,
trazodone,insomnia,sleep,depression,edema,drowsiness,fatigue,diarrhea,nasal,congestion,anxiety,priapism,atorvastatin,stroke,revascularization,myopathy,rhabdomyolysis,
amitriptyline,insomnia,sleep,depression,weight,gain,constipation,dizziness,headache,somnolence,migraine,atorvastatin,stroke,revascularization,myopathy,rhabdomyolysis,,
mirtazapine,insomnia,sleep,depression,dizziness,confusion,headache,agitation,anxiety,fatigue,nausea,vomiting,sweating,atorvastatin,stroke,revascularization,myopathy,rhabdomyolysis
doxepin,insomnia,sleep,depression,somnolence,nausea,anxiety,atorvastatin,stroke,revascularization,myopathy,rhabdomyolysis,,,,,,
lorazepam,insomnia,sleep,seizure,anxiety,depression,sedation,dizziness,weakness,unsteadiness,alcohol,panic,atorvastatin,stroke,revascularization,myopathy,rhabdomyolysis,
clonazepam,insomnia,sleep,seizure,panic,disorder,depression,restless,leg,mania,atorvastatin,stroke,revascularization,myopathy,rhabdomyolysis,,,
temazepam,insomnia,sleep,drowsiness,headache,nervousness,fatigue,lethargy,dizziness,nausea,atorvastatin,stroke,revascularization,myopathy,rhabdomyolysis,,,
triazolam,insomnia,sleep,somnolence,dizziness,fatigue,nausea,atorvastatin,stroke,revascularization,myopathy,rhabdomyolysis,,,,,,
melatonin,insomnia,sleep,dizziness,headache,nausea,drowsiness,jetlag,palpitations,atorvastatin,stroke,revascularization,myopathy,rhabdomyolysis,,,,
